id;street_address;postal_code;city;state_province
1;situation;pick capital heavenly;Hayward;forenenst brr
2;laundry;up athwart;Ocala;between
3;who jaded downstairs;titter phew so;Schuppeside;tune quirkily er
4;reconcile er;gosh that without;South Gia;psst well-informed
5;faithfully daddy patron;false;Lynchburg;eek potentially
6;veer well-to-do what;unlike;San Rafael;lope chill
7;colorfully aboard;hmph happily why;East Tina;rare
8;expectorate because generalise;to;Yostbury;zesty
9;supposing;ritualise wash anger;Bloomington;eventually
10;mmm including;offensively uh-huh;East Ottostad;organisation
